frame,x1,y1,x2,y2
0,80,120,218,258
1,80,121,218,259
2,80,121,218,259
3,80,121,218,259
4,80,121,218,259
5,79,120,219,260
6,79,120,219,260
7,79,121,219,261
8,80,122,218,260
9,79,121,219,261
10,79,121,219,261
11,79,121,219,261
12,79,121,219,261
13,79,121,219,261
14,79,121,219,261
15,79,121,219,261
16,79,121,219,261
17,79,121,219,261
18,79,121,219,261
19,79,121,219,261
20,79,121,219,261
21,79,120,220,262
22,78,119,221,262
23,77,118,222,263
24,78,118,222,262
25,77,118,221,262
26,78,118,222,262
27,78,118,222,262
28,78,118,222,262
29,78,119,221,261
30,78,120,220,262
31,78,119,221,263
32,78,119,222,263
33,78,120,221,263
34,79,121,220,262
35,79,121,219,261
36,79,121,219,261
37,80,122,218,260
38,81,123,217,259
39,81,122,218,260
40,80,121,220,261
41,80,121,220,261
42,81,122,219,260
43,80,122,218,260
44,80,122,218,260
45,79,121,219,261
46,79,121,219,261
47,79,121,219,261
48,79,120,219,260
49,78,120,218,260
50,78,120,218,260
51,79,121,217,259
52,79,121,217,259
53,79,121,217,259
54,79,121,217,259
55,79,121,217,259
56,79,121,217,259
57,79,121,217,259
58,79,121,217,259
59,79,121,217,259
60,79,121,217,259
61,79,121,217,259
62,79,120,218,260
63,79,120,219,260
64,79,120,219,260
65,79,120,219,260
66,79,120,219,260
67,78,119,220,261
68,79,119,221,261
69,80,120,220,260
70,79,119,221,261
71,79,119,221,261
72,79,119,221,261
73,79,119,221,261
74,79,119,221,261
